city,id,adType,propertyType,accountType,surfaceArea,roomsQuantity,bedroomsQuantity,heating,hasCellar,toiletQuantity,floorQuantity,hasElevator,floor,energyClassification,greenhouseGazClassification,isInCondominium,agencyFeePercentage,newOrOld,price,pricePerSquareMeter,priceHasDecreased,district.libelle,district.id,workToDo,bathroomsQuantity,hasGarden,annualCondominiumFees,isDuplex,hasAlarm,terracesQuantity,hasPool,balconyQuantity,firePlacesQuantity,surfaceArea_bins,price_bins
Paris 16e,immo-facile-99938054876,buy,flat,agency,71.0,3,2.0,gaz collectif ,True,1.0,7.0,True,3.0,F,F,True,4.17,new,750000,10140.845070422536,False,Porte de Saint-Cloud - Auteuil-Sud,100480,False,1.0,False,3480.0,False,False,0.0,False,0.0,1.0,middle,expensive
Paris 9e,immo-facile-adresse-13051570,buy,flat,agency,56.0,3,2.0,radiateur gaz individuel ,True,1.0,5.0,False,2.0,E,E,True,4.17,old,750000,12857.142857142857,False,Grands Boulevards,100524,False,1.0,False,1490.0,False,False,0.0,False,0.0,0.0,middle,expensive
Paris 17e,iad-france-1221974,buy,flat,mandatary,43.0,2,1.0,radiateur électrique individuel ,True,1.0,6.0,False,3.0,G,C,True,5.0,old,485000,11279.06976744186,False,La Fourche - Guy Moquet,100468,None,1.0,False,1728.0,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 19e,gedeon-25723315,buy,flat,agency,35.0,1,0.0,CPCU,True,1.0,10.0,True,10.0,D,D,True,5.0,new,310000,8857.142857142857,True,Flandre - Aubervilliers,100457,None,1.0,False,1920.0,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 10e,safti-1-761246,buy,flat,mandatary,17.0,1,0.0,radiateur collectif ,False,1.0,9.0,False,9.0,D,D,True,5.0,new,199000,11705.882352941177,False,Canal Saint-Martin - Jemmapes,100520,None,1.0,False,1100.0,False,False,0.0,False,0.0,0.0,extratiny,cheap
Paris 10e,immo-facile-50793727,buy,flat,agency,47.58,2,1.0,individuel ,True,1.0,5.0,True,2.0,D,B,True,5.0,new,490000,10298.444724674233,False,Goncourt - Canal Saint-Martin,100519,False,1.0,False,1656.0,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 15e,ag440414-361011703,buy,flat,mandatary,47.0,2,1.0,None,True,1.0,5.0,True,1.0,D,B,False,5.05,old,499000,10106.382978723404,False,Georges Brassens,100490,None,1.0,False,0.0,False,False,0.0,False,1.0,0.0,tiny,not-expensive
Paris 11e,ag750129-360951841,buy,flat,network,47.0,2,1.0,électricité ,False,1.0,4.0,False,1.0,G,C,True,5.0,old,465300,9900.0,False,Bastille - Popincourt,100514,None,1.0,False,1680.0,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 18e,ag753296-360959590,buy,flat,agency,37.0,2,1.0,individuel,True,1.0,6.0,False,1.0,F,C,True,5.0,old,325000,8783.783783783783,False,Barbès - Château Rouge,100463,None,1.0,False,1620.0,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 18e,iad-france-1217323,buy,flat,mandatary,55.0,3,1.0,gaz individuel ,True,1.0,6.0,False,6.0,G,G,True,5.0,old,460000,8363.636363636364,False,Barbès - Château Rouge,100463,None,1.0,False,1236.0,False,False,0.0,False,1.0,0.0,middle,not-expensive
Paris 7e,apimo-7437290,buy,flat,agency,26.88,1,0.0,Radiateur Electrique Individuel ,False,1.0,6.0,True,1.0,G,C,False,5.0,None,375000,13950.892857142857,False,Champ de Mars,100535,None,1.0,False,0.0,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 18e,immo-facile-50742173,buy,flat,agency,55.0,3,2.0,radiateur gaz individuel ,True,1.0,6.0,False,5.0,E,E,True,5.0,old,485000,8818.181818181818,False,Barbès - Château Rouge,100463,False,1.0,False,1900.0,False,False,0.0,False,1.0,1.0,middle,not-expensive
Paris 10e,iad-france-1220476,buy,flat,mandatary,80.0,4,2.0,radiateur électrique individuel ,True,1.0,6.0,False,1.0,D,B,True,5.0,old,750000,9375.0,False,Porte Saint-Martin - Paradis,100517,None,1.0,False,2172.0,False,False,0.0,False,0.0,0.0,middle,expensive
Paris 9e,gedeon-25713302,buy,flat,agency,43.0,2,1.0,Gaz,True,1.0,6.0,True,5.0,D,D,True,5.0,old,700000,16279.06976744186,False,Trudaine - Rochechouart,100523,True,1.0,False,1212.0,False,False,0.0,False,0.0,0.0,tiny,expensive
Paris 16e,hektor-vendome2019-539,prestige,flat,agency,42.0,2,1.0,radiateur électrique individuel ,True,1.0,5.0,True,2.0,D,A,True,5.0,new,530000,12619.047619047618,False,Porte de Saint-Cloud - Auteuil-Sud,100480,None,1.0,False,1370.0,False,False,1.0,False,0.0,0.0,tiny,not-expensive
Paris 17e,citya-immobilier-5049-TAPP486756,buy,flat,agency,9.03,1,0.0,Electrique Individuel ,False,0.0,6.0,False,6.0,G,C,True,5.0,None,115000,12735.326688815061,False,Ternes - Maillot,100474,None,0.0,False,158.0,False,False,0.0,False,0.0,0.0,extratiny,cheap
Paris 15e,immo-facile-adresse-13088942,buy,flat,agency,28.96,1,0.0,radiateur gaz ,False,1.0,6.0,True,5.0,D,D,True,5.0,None,328650,10808.011049723757,False,Cambronne - Garibaldi,100481,False,1.0,False,1569.32,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 15e,immo-facile-adresse-13088935,buy,flat,agency,39.11,2,1.0,radiateur gaz ,True,1.0,6.0,True,5.0,E,E,True,4.98,None,422000,10278.701099463053,False,Cambronne - Garibaldi,100481,False,1.0,False,1750.72,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 12e,ag750129-359131150,buy,flat,network,90.0,4,2.0,None,True,1.0,8.0,True,6.0,D,D,True,5.0,old,850000,9444.444444444445,True,Aligre - Gare de Lyon,100511,None,1.0,False,4800.0,False,False,0.0,False,1.0,0.0,large,expensive
Paris 20e,iad-france-1220320,buy,flat,mandatary,37.0,2,1.0,gaz collectif ,True,1.0,14.0,True,12.0,E,E,True,5.0,new,349000,9432.432432432432,False,Belleville,100448,None,1.0,False,1680.0,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 10e,iad-france-1217734,buy,flat,mandatary,85.0,5,3.0,radiateur gaz individuel ,True,1.0,7.0,True,3.0,D,D,True,5.0,None,880000,10352.941176470587,False,Louis Blanc - Aqueduc,100521,None,1.0,False,2924.0,False,False,0.0,False,0.0,1.0,large,expensive
Paris 15e,ag750129-358847272,buy,flat,network,42.0,2,1.0,électricité ,True,1.0,6.0,True,1.0,F,C,True,4.27,old,415000,9476.190476190477,True,Georges Brassens,100490,None,1.0,False,1776.0,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 19e,ag752647-360804343,buy,flat,agency,106.0,4,3.0,radiateur gaz collectif,False,1.0,7.0,True,3.0,A,C,True,5.0,old,1330000,12547.169811320755,False,Bassin de la Villette,100456,None,1.0,False,3768.0,False,False,1.0,False,0.0,0.0,large,veryExpensive
Paris 14e,iad-france-1219864,buy,flat,mandatary,29.0,2,1.0,gaz individuel ,True,1.0,5.0,False,5.0,G,F,True,5.0,None,319000,11000.0,False,Pernety,100495,None,1.0,False,1040.0,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 12e,citya-immobilier-749865-TAPP479679,buy,flat,agency,39.0,2,1.0,Radiateur Gaz Individuel ,False,1.0,3.0,False,1.0,E,E,True,5.0,None,424000,10871.794871794871,False,Aligre - Gare de Lyon,100511,None,0.0,False,724.0,False,False,0.0,False,0.0,0.0,tiny,not-expensive
